note;canonized
лимон;lemon
перец черный;black pepper
черный перец;black pepper
апельсин;orange
жасмин;jasmine
тёс;fir
ципреол;cypriol
оррис;orris
нероли;neroli
лаванд;lavender
фиалк;leaf
абсолю;absolute
полынь;wormwood
травы;herbs
герань;geranium
плющ;ivy
сахарный тростник;sugar cane
ладан;frankincense
бергамот;bergamot
ваниль;vanilla
табак;tobacco
крапива;nettle
колокольчик;bellflower
ирис;iris
шафран;saffron
абсент;absinthe
жимолость;honeysuckle
элеми;elemi
роза;rose
персик;peach
виски;whiskey
амбретта;ambrette
махагони;mahogany
уд;oud
мускус;musk
бессмертник;immortelle
османтус;osmanthus
тик;teak
фиалка;violet
пачули;patchouli
перец;pepper
базилик;basil
сандал;sandalwood
мандарин;mandarin
водные ноты;aquatic notes
олибанум кьяра;Olibanum Chiara
береза;birch
гуаяк;guaiac
абрикос;apricots
анис;anise
ветивер;vetiver
камфора;camphor
фенхель;fennel
сирень;lilac
киви;kiwi
древ;woody notes
красный перец;red pepper
бальзам;balsam
коньяк;brandy
гедион;gedion
альдегиды;aldehydes
ананас;pineapple
лепестки;petals
какао;cocoa
трава;grass
гиацинт;hyacinth
зола;ash
пион;peony
земл;earthy notes
грейпфрут;grapefruit
олибанум;olibanum
гваяк;guaiac
бензои;benzoin
карамель;caramel
белые цветы;white flowers
ром;rum
амброкс;ambroxan
мирра;myrrh
финик;date
пирожное;pastry
моло;milk
помело;pomelo
черный чай;black tea
замша;suede
тмин;caraway
шоколад;chocolate
бархатцы;marigold
перечная мята;peppermint
флердоранж;neroli
кардамон;cardamom
нагармота;nagarmotha
зеленый чай;green tea
мак;poppy
вин;wine
юдзу;yuzu
миндаль;almond
песок;sand
гиацинт;hyacinth
нарцисс;daffodil
цистус;cistus
пудра;powder
кумарин;coumarin
иланг-илан;ylang-ylang
гальбанум;galbanum
груша;pear
орхидея;orchid
бамбук;bamboo
спец;spices
папайя;papaya
монарда;monarda
металлические ноты;metallic notes
сосновая смола;pine resin
кожа;leather
инжир;fig
вишн;cherry
ябло;apple
сливо;shea butter
сладкие ноты;sweet notes
лиатрис;liatris
мирт;myrtle
кокос;coconut
кориандр;cilantro
лимончелло;limoncello
имбирь;ginger
тимьян;thyme
красные ягоды;red berries
фрезия;freesia
чёрный перец;black pepper
лавандин;lavandin
зеленые;green notes
агар;agarwood
сахар;sugar
мята;mint
толу;tolu
серинга;seringa
амбра;amber
гвоздика;clove
ежевика;blackberry
опопонакс;opopanax
розовые ягоды;pink berries
зелёные;green notes
давана;davana
кедр;cedar
лилия;lily
дыня;melon
каннабис;cannabis
глициния;wisteria
маракуйя;passion fruit
белый чай;white tea
водоросли;seaweed
дрифт;driftwood
зира;caraway
малин;raspberry
лотос;lotus
лесной орех;hazelnut
клубника;strawberry
минеральные ноты;mineral notes
берёза;birch
лицея;litsea
корица;cinnamon
конопля;hemp
вереск;heather
мох;moss
цитронелла;citronella
бархатцы;marigold
аква;aquatic notes
ел;fir
кашмеран;cashmeran
влажная древесина;wet wood
гелиотроп;heliotrope
цитрон;citron
намокшая древесина;wet wood
мёд;honey
мед;honey
пряности;spices
тубероза;tuberose
амбретт;ambrette
артемизия;artemisia
галька;pebble
розовый перец;pink pepper
сакур;cherry
ромашка;chamomile
цитрус;citrus
джин;gin
кофе;coffee
мимоза;mimosa
эбен;ebony
морская соль;seasalt
лип;linden
гречишный чай;buckwheat tea
морские ноты;aquatic notes
ландыш;lily of the valley
шалфей;sage
сухая древесина;dry wood
белый шоколад;white chocolate
перец;pepper
вистерия;wisteria
рис;rice
топол;poplar
киприлол;cypriol
акигалавуд;akigalawood
кипарис;cyprus
папоротник;fern
петитгрейн;petitgrain
амирис;amyris
морков;carrot
капучино;capuccino
дрок;rockrose
мирт;myrtle
гелиотропин;heliotropin
смол;resin
черешня;cherry
отруби;bran
каштан;chestnut
цвето;floral notes
озон;ozone
нуга;nougat
лайм;lime
дуб;oak
давала;davala
мускат;nutmeg
янтарь;amber
меренги;meringues
розмарин;rosemary
кувшинка;water lily
бензол;benzene
сахарная вата;cotton candy
травяные ноты;herbal notes
смородин;currant
цикламен;cyclamen
мате;mate
календула;calendula
водяная лилия;water lily
сено;hay
кашемир;cashmere
танжерин;tangerine
почва;soil
олеандр;oleander
кипарис;cypress
лабданум;labdanum
стиракс;styrax
чабрец;thyme
лакри;licorice
кастореум;castoreum
тоник;tonic
соль;salt
можжевел;juniper
морошка;cloudberry
кумкват;kumquat
ревень;rhubarb
дубовый мох;oak moss
вод;aquatic notes
тархун;tarragon
тиковое дерево;teak wood
эден;eden
лавр;laurel
киприол;cypriol
клен;maple
pomarose;pomarose
оливк;olive
пшеница;wheat
бархат;velvet
юзу;yuzu
гранат;pomegranate
айва;quince
фруктовые ноты;fruity notes
чечевица;lentil
тонка;tonka
светлое дерево;light wood
чай улун;oolong tea
морская вода;sea water
калон;kalon
солод;malt
сладость;sweetness
личи;lychee
плюмерия;plumeria
папирус;papyrus
тоффи;toffee
амбервуд;amberwood
слива;plum
акация;acacia
мандора;mandora
морская свежесть;aquatic freshness
фрукт;fruits
циветта;civet
нектарин;nectarine
сосна;pine
бальзамик;balm
пало санто;palo santo
соль;salt
гидеон;gideon
василёк;cornflower
магнолия;magnolia
гардения;gardenia
клевер;clover
