абел;abelia
акац;acacia
асерол;acerola
тагетес;marigold
агл;aglaia
роз;rose
альбиц;albizia
альпин;alpinia
алиссум;alyssum
амариллис;amarillys
анемон;anemone
бругманс;angel's trumpet
ашок;ashoka
клинтон;clintonia
спарж;asparagus
азал;azalea
лил;lily
банкс;banksia
бегон;begonia
белладонн;belladona
колокольчик;bellflower
бергамот;bergamot
мак;poppy
колокольчик;bluebell
каллистемон;bottlebrush
бугенвилл;bougainvillea
бромел;bromelia
буддл;buddleia
стрелолист;butomus umbellatus
лютик;buttercup
кактус;cactus
календул;calendula
камел;camellia
смолевк;campion
кананг;cananga
курупит;cannonball flower
гвоздик;carnation
целоз;celosia
буплерум;chai hu
ромашк;chamomile
чампак;champaca
шимонантус;wintersweet
хризантем;chrysanthemum
ладанник;cistus
клематис;clematis
клевер;clover
костус;costus
цикламен;cyclamen
георгин;dahlia
маргаритк;daisy
одуванчик;dandelion
дафн;daphne
яснотк;deadnettle
делоникс;delonix
гвоздик;dianthus
эдельвейс;edelweiss
бузин;elderflower
мелколепестник;erigeron
молоч;euphorbia
эустом;eustoma
вечнозелен;evergreen
лен;flax
цветок;floral
незабудк;forget-me-not
фрагон;fragonia
фрез;freesia
фукс;fuchsia
геран;geranium
гербер;gerbera
гладиолус;gladiolus
золотарник;goldenrod
дрок;gorse
кровохлебк;great burnet
нард;green nard
гревилл;grevillea
гваякан;guayacan
боярышник;hawthorn
вереск;heather
гелиотроп;heliotrope
болигол;hemlock
гибискус;hibiscus
шток-роз;hollyhock
циклоп;cyclopia
гортенз;hortensia
гиацинт;hyacinth
иссоп;hyssop
бальзамин;impatiens
девясил;inula
ирис;iris
жаккаранд;jacaranda
крассул;jade flower
жасмин;jasmine
кадам;kadam
анигозантос;kangaroo paw
канук;kanuka
кудз;kudzu
дожд;laburnum
цеструм;lady of the night
дицентр;lamprocapnos
лантан;lantana
живокост;larkspur
лаванд;lavender
кожаное дерево;leatherwood
багульник;ledum
лиатрис;liatris
лиатрис;liatrix
сирен;lilac
ландыш;lily of the valley
лонгоз;longoza
лотос;lotus
люпин;lupin
лизиланг;lysylang
магнол;magnolia
махон;mahonial
мальв;malva
майский цветок;mayflower
таволг;meadowsweet
донник;melilotus
мишел;michelia
резед;mignonetta
асклеп;milkweed
мимоз;mimosa
мирабилис;mirabilis
монард;monarda
флокс;moss flox
мирт;myrtle
нарцисс;narcissus
нард;nard
настурц;nasturtium
нигелл;nigella
опиум;opium
орхид;orchid
орнитогалум;ornithogalum
османтус;osmanthus
глазк;pansy
парамел;paramela
патакейр;pataqueira
пеларгон;pelagonium
пион;peony
барвинок;periwinkle
петал;petalia
петун;petunia
флокс;phlox
питтоспорум;pittosporum
плюмер;plumeria
пуансетт;poinsettia
мак;poppy
примул;primrose
бирючин;privet
прот;protea
черноголовк;prunella
резед;reseda
рододендрон;rhododendron
иван-ч;rosebay willowherb
розелл;roselle
розифол;rosyfolia
сафлор;safflower
эспарцет;sainfoin
сантолин;santolina
панкрац;sea daffodil
скумп;smoketree
клопогон;snakeroot
подснежник;snowdrop
дифилл;skeleton flower
купен;solomon's seal
спартиевник;spanish broom
спир;spiraea
звероб;st. john's wort
трав;starflower
стрелиц;strelitzia
подсолнечник;sunflower
горошек;sweet pea
тамарикс;tamarisk
трилиум;trillium
тюльпан;tulip
калин;viburnum
фиалк;violet
хейрантус;wallflower
телоп;waratah
цвет;wildflowers
глицин;wisteria
райт;wrightia
иланг;ylang-ylang
юдз;yuzu flower
цинн;zinnia
беланис;belanis
борони;boronia
акаци;locust
карисс;carissa
дурман;datura
плюмери;frangipani
гарден;gardenia
жимолост;honeysuckle
каро-карунд;karo-karounde
ипоме;moonflower
стефанотис;stephanotis
сирен;syringa
тубероз;tuberose
шиповник;wild rose
бархатц;marigold
