агав;agave
водоросл;algae
алоэ;aloe vera
аммофил;ammophila
дягил;angelica
арник;arnica
полын;artemisia
спарж;asparagus
авокад;avocado
азолл;azolla
ячмен;barley
базилик;basil
эпимедиум;barrenwort
бетел;betel
живучк;blue bugle
трав;borage
борнеол;borneol
отруб;bran
буч;buchu
гречих;buckwheat
камыш;bulrush
лопух;burdock
кактус;cactus
аир;calamus
каликантус;calycanthus
конопл;cannabis
каперс;caper
гвоздик;carnation
котовник;catnip
сельдере;celery
центелл;centella
цикор;chicory
шнитт-лук;chive
хлорофилл;chlorophyll
кинз;cilantro
мускатн;clary sage
кок;coca
колеус;coleus
креозот;creosote
критмум;crithmum
даван;davana
улун;oolong
папоротник;fern
фо-т;fo ti
вечнозелен;evergreen
гальбанум;galbanum
чеснок;garlic
генмайт;genmaicha
гинкг;ginkgo
женьшен;ginseng
трав;grass
ветв;green branches
чил;green chilli
лес;green forest
перец;green pepper
сен;hay
хн;henna
хмел;hops
сорн;horseweed
бессмертник;immortelle
плющ;ivy
джамб;jambu
жожоб;jojoba
можжевельник;juniper
амм;khella
кунзе;kunzea
ламинари;laminaria
салат;lettuce
каламинт;lesser calamint
линалоэ;linaloe berry
любисток;lovage root
ма-кваен;ma-kwaen
мандрагор;mandrake
календул;marigold
майоран;marjoram
матч;matcha
мат;mate
донник;melilot
мимоз;mimosa
мят;mint
омел;mistletoe
полын;mugwort
насва;naswar
крапив;nettle
сыт;nutgrass
овес;oat
ореган;oregano
пальмароз;palmarosa
панданус;pandanus
петрушк;parsley
болотн;pennyroyal
пест;pesto
петрикор;petrichor
пейот;peyote
горец;polygonum
посидони;posidonia
портулак;purslane
тростник;reed
рис;rice
корн;roots
розмарин;rosemary
родиол;roseroot
рут;rue
щавел;rumex
рож;rye
шалфе;sage
сансевьери;sansevieria
сок;sap
чабер;satureja
водоросл;seaweed
крестовник;senecio
перилл;shiso
лоз;silk vine
сансевьери;snake plant
колосов;spearmint
шпинат;spinach
стебел;stems green
росянк;sundew
кокил;sugandha kokila
сварци;swartzia
зубровк;sweet grass
пижм;tansy
эстрагон;tarragon
ча;tea
чертополох;thistle
ча;thai tea
тимьян;thyme
кордилин;cordyline
табак;tobacco
торре;torreya
тулс;tulsi
перекати-пол;tumbleweed
валериан;valerian
лоз;vine
пшениц;wheat
гаультери;wintergreen
ясменник;woodruff
полын;wormwood
тысячелистник;yarrow
