ацетил;acetyl
аффогат;affogato
яблочный пирог;apple pie
холодец;aspic
ромовая баба;baba
печеное яблок;baked apple
печеная груш;baked pear
пахлав;baklava
банановый хлеб;banana bread
бискотт;biscotti
бисквит;biscuit
бонбон;bonbon
хлеб;bread
бриош;brioche
сахар;brown sugar
браун;brownie
буббал;bubbaloo
резинк;bubble gum
сахар;burnt sugar
масл;butter
крем;buttercream
ирис;butterscotch
торт;cake
конфет;candies
канел;canele
карамел;caramel
кассат;cassata siciliana
хлопь;cereals
шамалл;chamallow
шантиль;chantilly cream
чизкейк;cheesecake
вишневый сироп;cherry syrup
шоколадный фадж;chocolate fudge
шоколадный соус;chocolate sauce
тест;choux pastry
чуррос;churros
конфетт;confetti
печень;cookie
сахарная ват;cotton candy
сливк;cream
кримсикл;creamsicle
круассан;croissant
капкейк;cupcake
крем;custard
шоколад;chocolate
финик;date
пончик;donut
дораяк;dorayaki
драж;dragee
драгибус;dragibus
сгущенк;dulce de leche
эгг-ног;eggnog
фугассет;fougassette
выпечк;french pastry
глазур;frosting
желатин;gelatin
джандуй;gianduia
пряник;gingerbread
гурман;gourmand
халв;halva
мед;honey
сот;honeycomb
орхат;horchata
морожен;ice cream
жел;jelly
кнаф;knafeh
кулф;kulfi
лукум;loukhoum
макарон;macaron
мадлен;madeleine
клен;maple
мармелад;marmalade
глазур;marron glace
зефир;marshmallow
марципан;marzipan
без;meringue
милкшейк;milkshake
паток;molasses
нектар;nectar
нуг;nougat
нутелл;nutella
молок;milk
джелат;gelato
блин;pancake
панеттон;panettone
паннакотт;panna cotta
попкорн;popcorn
эским;popsicle
пралин;praline
брецел;pretzel
профитрол;profiterole
пудинг;pudding
соленая карамел;salted caramel
сорбет;sorbet
суфл;souffle
посыпк;sprinkles
сахар;sugar
тартин;tartine
тирамис;tiramisu
тост;toast
ириск;toffee
тупиг;tupig
вафл;waffle
йогурт;yogurt
зефир;zefir
