алойное дерев;agarwood
акигалавуд;akigalawood
ольх;alder
амарант;amaranth
амбуран;amburana
амирис;amyris
араукар;araucaria
арбутус;arbutus
аргани;argan tree
осин;aspen
кипарис;cypress
уд;oud
бамбук;bamboo
баобаб;baobab
кор;bark
бук;beech
беламбр;belambra
берез;birch
ел;spruce
блэквуд;blackwood
светлое дерев;blonde wood
розовое дерев;rosewood
будда-вуд;buddha wood
самшит;buxus
кабрев;cabreuva
бальзам;balsam
рожковое дерев;carob tree
каскарилл;cascarilla
кашемир;cashmir
кедр;cedar
чалуд;chalood
обугленное дерев;charred wood
клирвуд;clearwood
шипр;chypre
кокобол;cocobolo
пробк;cork
топол;cottonwood
пачул;patchouli
дартанол;dartanol
полын;sagebrush
дримвуд;dreamwood
дитаксвуд;ditaxwood
сухое дерев;drywood
коряг;driftwood
дукк;ducke
эбен;ebony
вяз;elm
эвкалипт;eucalyptus
пихт;fir
гваяк;guaiac
хиб;hiba
хинок;hinoki
ладан;incienso
сандал;sandalwood
дерев;ironwood
ишпинк;ishpink
софор;kowhai
кьяр;kyara
лиственниц;larch
лишайник;lichen
стиракс;liquidambar
махагон;mahogany
манук;manuka
клен;maple
масой;massoia
мескит;mesquite
мухух;muhuhu
ним;neem
нутк;nootka
дуб;oak
дубовый мох;oakmoss
сант;palo santo
памплвуд;pamplewood
кор;paperbark
папирус;papyrus
сосн;pine
слив;plum
равенал;ravenala
равенсар;ravensara
ив;red willow
секвой;redwood
корневищ;rhizoma
саман;saman
сандалор;sandalore
сассфрас;sassafras
дерев;satinwood
опилк;sawdust
секвой;sequoia
платан;sycamore
такамак;takamaka
тат;tatami
тик;teak
танакa;thanaka
ту;thuja
ветивер;vetiver
волфвуд;wolfwood
древесные ноты;woody
йохимб;yohimbe
